cedula,nombres,apellidos,correo,contrasena,tipo_usuario
1818182034,Kevin Santiago,Pinargote Santana,1818182034@nivelacion.com,1234,Estudiante
1818182035,Bryan Santiago,Cevallos Santana,1818182035@nivelacion.com,1234,Estudiante
1818182036,Alejandro Santiago,Alcívar Santana,1818182036@nivelacion.com,1234,Estudiante
1818182037,Ricardo Santiago,Lucas Santana,1818182037@nivelacion.com,1234,Estudiante
1818182038,Juan Leonardo,Chiquito Vera,1818182038@nivelacion.com,1234,Estudiante
1818182039,Carlos Leonardo,Mendoza Vera,1818182039@nivelacion.com,1234,Estudiante
1818182040,Luis Leonardo,Velásquez Vera,1818182040@nivelacion.com,1234,Estudiante
1818182041,Pedro Leonardo,Zambrano Vera,1818182041@nivelacion.com,1234,Estudiante
1818182042,Miguel Leonardo,Cedeño Vera,1818182042@nivelacion.com,1234,Estudiante
1818182043,Jorge Leonardo,Moreira Vera,1818182043@nivelacion.com,1234,Estudiante
1818182044,Andrés Leonardo,Párraga Vera,1818182044@nivelacion.com,1234,Estudiante
1818182045,Diego Leonardo,Loor Vera,1818182045@nivelacion.com,1234,Estudiante
1818182046,José Leonardo,Vélez Vera,1818182046@nivelacion.com,1234,Estudiante
1818182047,Mateo Leonardo,Delgado Vera,1818182047@nivelacion.com,1234,Estudiante
1818182048,Daniel Leonardo,García Vera,1818182048@nivelacion.com,1234,Estudiante
1818182049,Gabriel Leonardo,Bravo Vera,1818182049@nivelacion.com,1234,Estudiante
1818182050,David Leonardo,Mero Vera,1818182050@nivelacion.com,1234,Estudiante
1818182051,Sebastián Leonardo,Quiroz Vera,1818182051@nivelacion.com,1234,Estudiante
1818182052,Fernando Leonardo,Solórzano Vera,1818182052@nivelacion.com,1234,Estudiante
1818182053,Anthony Leonardo,Macías Vera,1818182053@nivelacion.com,1234,Estudiante
1818182054,Kevin Leonardo,Pinargote Vera,1818182054@nivelacion.com,1234,Estudiante
1818182055,Bryan Leonardo,Cevallos Vera,1818182055@nivelacion.com,1234,Estudiante
1818182056,Alejandro Leonardo,Alcívar Vera,1818182056@nivelacion.com,1234,Estudiante
1818182057,Ricardo Leonardo,Lucas Vera,1818182057@nivelacion.com,1234,Estudiante
1818182058,Juan Cristian,Chiquito Mejía,1818182058@nivelacion.com,1234,Estudiante
1818182059,Carlos Cristian,Mendoza Mejía,1818182059@nivelacion.com,1234,Estudiante
1818182060,Luis Cristian,Velásquez Mejía,1818182060@nivelacion.com,1234,Estudiante
1818182061,Pedro Cristian,Zambrano Mejía,1818182061@nivelacion.com,1234,Estudiante
1818182062,Miguel Cristian,Cedeño Mejía,1818182062@nivelacion.com,1234,Estudiante
1818182063,Jorge Cristian,Moreira Mejía,1818182063@nivelacion.com,1234,Estudiante
1818182064,Andrés Cristian,Párraga Mejía,1818182064@nivelacion.com,1234,Estudiante
1818182065,Diego Cristian,Loor Mejía,1818182065@nivelacion.com,1234,Estudiante
1818182066,José Cristian,Vélez Mejía,1818182066@nivelacion.com,1234,Estudiante
1818182067,Mateo Cristian,Delgado Mejía,1818182067@nivelacion.com,1234,Estudiante
1818182068,Daniel Cristian,García Mejía,1818182068@nivelacion.com,1234,Estudiante
1818182069,Gabriel Cristian,Bravo Mejía,1818182069@nivelacion.com,1234,Estudiante
1818182070,David Cristian,Mero Mejía,1818182070@nivelacion.com,1234,Estudiante
1818182071,Sebastián Cristian,Quiroz Mejía,1818182071@nivelacion.com,1234,Estudiante
1818182072,Fernando Cristian,Solórzano Mejía,1818182072@nivelacion.com,1234,Estudiante
1818182073,Anthony Cristian,Macías Mejía,1818182073@nivelacion.com,1234,Estudiante
1818182074,Kevin Cristian,Pinargote Mejía,1818182074@nivelacion.com,1234,Estudiante
1818182075,Bryan Cristian,Cevallos Mejía,1818182075@nivelacion.com,1234,Estudiante
1818182076,Alejandro Cristian,Alcívar Mejía,1818182076@nivelacion.com,1234,Estudiante
1818182077,Ricardo Cristian,Lucas Mejía,1818182077@nivelacion.com,1234,Estudiante
1818182078,Juan Iván,Chiquito Ortega,1818182078@nivelacion.com,1234,Estudiante
1818182079,Carlos Iván,Mendoza Ortega,1818182079@nivelacion.com,1234,Estudiante
1818182080,Luis Iván,Velásquez Ortega,1818182080@nivelacion.com,1234,Estudiante
1818182081,Pedro Iván,Zambrano Ortega,1818182081@nivelacion.com,1234,Estudiante
1818182082,Miguel Iván,Cedeño Ortega,1818182082@nivelacion.com,1234,Estudiante
1818182083,Jorge Iván,Moreira Ortega,1818182083@nivelacion.com,1234,Estudiante
1818182084,Andrés Iván,Párraga Ortega,1818182084@nivelacion.com,1234,Estudiante
1818182085,Diego Iván,Loor Ortega,1818182085@nivelacion.com,1234,Estudiante
1818182086,José Iván,Vélez Ortega,1818182086@nivelacion.com,1234,Estudiante
1818182087,Mateo Iván,Delgado Ortega,1818182087@nivelacion.com,1234,Estudiante
1818182088,Daniel Iván,García Ortega,1818182088@nivelacion.com,1234,Estudiante
1818182089,Gabriel Iván,Bravo Ortega,1818182089@nivelacion.com,1234,Estudiante
1818182090,David Iván,Mero Ortega,1818182090@nivelacion.com,1234,Estudiante
1818182091,Sebastián Iván,Quiroz Ortega,1818182091@nivelacion.com,1234,Estudiante
1818182092,Fernando Iván,Solórzano Ortega,1818182092@nivelacion.com,1234,Estudiante
1818182093,Anthony Iván,Macías Ortega,1818182093@nivelacion.com,1234,Estudiante
1818182094,Kevin Iván,Pinargote Ortega,1818182094@nivelacion.com,1234,Estudiante
1818182095,Bryan Iván,Cevallos Ortega,1818182095@nivelacion.com,1234,Estudiante
1818182096,Alejandro Iván,Alcívar Ortega,1818182096@nivelacion.com,1234,Estudiante
1818182097,Ricardo Iván,Lucas Ortega,1818182097@nivelacion.com,1234,Estudiante
1818182098,Juan Mauricio,Chiquito Palma,1818182098@nivelacion.com,1234,Estudiante
1818182099,Carlos Mauricio,Mendoza Palma,1818182099@nivelacion.com,1234,Estudiante
1818182100,Luis Mauricio,Velásquez Palma,1818182100@nivelacion.com,1234,Estudiante
1818182101,Pedro Mauricio,Zambrano Palma,1818182101@nivelacion.com,1234,Estudiante
1818182102,Miguel Mauricio,Cedeño Palma,1818182102@nivelacion.com,1234,Estudiante
1818182103,Jorge Mauricio,Moreira Palma,1818182103@nivelacion.com,1234,Estudiante
1818182104,Andrés Mauricio,Párraga Palma,1818182104@nivelacion.com,1234,Estudiante
1818182105,Diego Mauricio,Loor Palma,1818182105@nivelacion.com,1234,Estudiante
1818182106,José Mauricio,Vélez Palma,1818182106@nivelacion.com,1234,Estudiante
1818182107,Mateo Mauricio,Delgado Palma,1818182107@nivelacion.com,1234,Estudiante
1818182108,Daniel Mauricio,García Palma,1818182108@nivelacion.com,1234,Estudiante
1818182109,Gabriel Mauricio,Bravo Palma,1818182109@nivelacion.com,1234,Estudiante
1818182110,David Mauricio,Mero Palma,1818182110@nivelacion.com,1234,Estudiante
1818182111,Sebastián Mauricio,Quiroz Palma,1818182111@nivelacion.com,1234,Estudiante
1818182112,Fernando Mauricio,Solórzano Palma,1818182112@nivelacion.com,1234,Estudiante
1818182113,Anthony Mauricio,Macías Palma,1818182113@nivelacion.com,1234,Estudiante
1818182114,Kevin Mauricio,Pinargote Palma,1818182114@nivelacion.com,1234,Estudiante
1818182115,Bryan Mauricio,Cevallos Palma,1818182115@nivelacion.com,1234,Estudiante
1818182116,Alejandro Mauricio,Alcívar Palma,1818182116@nivelacion.com,1234,Estudiante
1818182117,Ricardo Mauricio,Lucas Palma,1818182117@nivelacion.com,1234,Estudiante
